cbsa_cd,cbsa_abbr,cbsa_name
34620,MUN,"Muncie, IN (MSA)"
34580,MVA,"Mount Vernon-Anacortes, WA (MSA)"
33340,MWK,"Milwaukee-Waukesha-West Allis, WI (MSA)"
34820,MYR,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (MSA)"
34900,NAP,"Napa, CA (MSA)"
47260,NFK,"Virginia Beach-Norfolk-Newport News, VA-NC (MSA)"
35300,NHM,"New Haven-Milford, CT (MSA)"
35980,NLO,"Norwich-New London, CT (MSA)"
35380,NOR,"New Orleans-Metairie, LA (MSA)"
34940,NPL,"Naples-Immokalee-Marco Island, FL (MSA)"
34980,NVL,"Nashville-Davidson-Murfreesboro-Franklin, TN (MSA)"
35100,NWB,"New Bern, NC (MSA)"
35620,NYT,"New York-Newark-Jersey City, NY-NJ-PA (MSA)"
36140,OCI,"Ocean City, NJ (MSA)"
36100,OCL,"Ocala, FL (MSA)"
36260,OCR,"Ogden-Clearfield, UT (MSA)"
36220,ODE,"Odessa, TX (MSA)"
36420,OKC,"Oklahoma City, OK (MSA)"
36500,OLY,"Olympia-Tumwater, WA (MSA)"
36540,OMA,"Omaha-Council Bluffs, NE-IA (MSA)"
36740,ORL,"Orlando-Kissimmee-Sanford, FL (MSA)"
36780,OSN,"Oshkosh-Neenah, WI (MSA)"
36980,OWN,"Owensboro, KY (MSA)"
37460,PAN,"Panama City, FL (MSA)"
38220,PBF,"Pine Bluff, AR (MSA)"
37980,PCW,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)"
37860,PEN,"Pensacola-Ferry Pass-Brent, FL (MSA)"
37900,PEO,"Peoria, IL (MSA)"
39460,PGA,"Punta Gorda, FL (MSA)"
38060,PHX,"Phoenix-Mesa-Scottsdale, AZ (MSA)"
38300,PIT,"Pittsburgh, PA (MSA)"
37620,PKM,"Parkersburg-Vienna, WV (MSA)"
38540,POL,"Pocatello, ID (MSA)"
38660,PON,"Ponce, PR (MSA)"
38900,POR,"Portland-Vancouver-Hillsboro, OR-WA (MSA)"
39140,PRC,"Prescott, AZ (MSA)"
39300,PRI,"Providence-Warwick, RI-MA (MSA)"
39340,PRV,"Provo-Orem, UT (MSA)"
38860,PTL,"Portland-South Portland, ME (MSA)"
38340,PTS,"Pittsfield, MA (MSA)"
39380,PUE,"Pueblo, CO (MSA)"
39540,RAC,"Racine, WI (MSA)"
20500,RAD,"Durham-Chapel Hill, NC (MSA)"
40060,RCP,"Richmond, VA (MSA)"
39580,RCY,"Raleigh, NC (MSA)"
40420,RDC,"Rockford, IL (MSA)"
39820,RDD,"Redding, CA (MSA)"
39740,RDG,"Reading, PA (MSA)"
39900,REN,"Reno, NV (MSA)"
40220,RKE,"Roanoke, VA (MSA)"
40580,RKM,"Rocky Mount, NC (MSA)"
28420,RKP,"KenneWick-Richland, WA (MSA)"
40660,RME,"Rome, GA (MSA)"
40380,ROH,"Rochester, NY (MSA)"
40340,ROT,"Rochester, MN (MSA)"
39660,RPC,"Rapid City, SD (MSA)"
40140,RSB,"Riverside-San Bernardino-Ontario, CA (MSA)"
40980,SAG,"Saginaw, MI (MSA)"
41420,SAL,"Salem, OR (MSA)"
35840,SAR,"North Port-Sarasota-Bradenton, FL (MSA)"
41700,SAT,"San Antonio-New Braunfels, TX (MSA)"
42340,SAV,"Savannah, GA (MSA)"
43780,SBN,"South Bend-Mishawaka, IN-MI (MSA)"
41540,SBY,"Salisbury, MD-DE (MSA)"
44300,SCL,"State College, PA (MSA)"
42100,SCZ,"Santa Cruz-Watsonville, CA (MSA)"
41740,SDI,"San Diego-Carlsbad, CA (MSA)"
42700,SEB,"Sebring, FL (MSA)"
41860,SFC,"San Francisco-Oakland-Hayward, CA (MSA)"
